199,Douglas,Grant,650.507.9844,13-Jan-08,2600,50,male
200,Jennifer,Whalen,515.123.4444,17-Sep-03,4400,10,male
201,Michael,Hartstein,515.123.5555,17-Feb-04,13000,20,male
202,Pat,Fay,603.123.6666,17-Aug-05,6000,20,male
203,Susan,Mavris,515.123.7777,07-Jun-02,6500,40,male
204,Hermann,Baer,515.123.8888,07-Jun-02,10000,70,male
205,Shelley,Higgins,515.123.8080,07-Jun-02,12008,110,male
100,Steven,King,515.123.4567,17-Jun-03,24000,90,male
101,Neena,Kochhar,515.123.4568,21-Sep-05,17000,90,male
102,Lex,De Haan,515.123.4569,13-Jan-01,17000,90,male
103,Alexander,Hunold,590.423.4567,03-Jan-06,9000,60,male
104,Bruce,Ernst,590.423.4568,21-May-07,6000,60,male
105,David,Austin,590.423.4569,25-Jun-05,4800,60,male
106,Valli,Pataballa,590.423.4560,05-Feb-06,4800,60,male
107,Diana,Lorentz,590.423.5567,07-Feb-07,4200,60,male
109,Daniel,Faviet,515.124.4169,16-Aug-02,9000,100,male
110,John,Chen,515.124.4269,28-Sep-05,8200,100,male
115,Alexander,Khoo,515.127.4562,18-May-03,3100,30,male
118,Guy,Himuro,515.127.4565,15-Nov-06,2600,30,male
120,Matthew,Weiss,650.123.1234,18-Jul-04,8000,50,male
121,Adam,Fripp,650.123.2234,10-Apr-05,8200,50,male
122,Payam,Kaufling,650.123.3234,01-May-03,7900,50,male
123,Shanta,Vollman,650.123.4234,10-Oct-05,6500,50,male
124,Kevin,Mourgos,650.123.5234,16-Nov-07,5800,50,male
126,Irene,Mikkilineni,650.124.1224,28-Sep-06,2700,50,male
127,James,Landry,650.124.1334,14-Jan-07,2400,50,male
128,Steven,Markle,650.124.1434,08-Mar-08,2200,50,male
129,Laura,Bissot,650.124.5234,20-Aug-05,3300,50,male
131,James,Marlow,650.124.7234,16-Feb-05,2500,50,male
133,Jason,Mallin,650.127.1934,14-Jun-04,3300,50,male
134,Michael,Rogers,650.127.1834,26-Aug-06,2900,50,male
135,Ki,Gee,650.127.1734,12-Dec-07,2400,50,male
136,Hazel,Philtanker,650.127.1634,06-Feb-08,2200,50,male
137,Renske,Ladwig,650.121.1234,14-Jul-03,3600,50,male
138,Stephen,Stiles,650.121.2034,26-Oct-05,3200,50,male
139,John,Seo,650.121.2019,12-Feb-06,2700,50,male
